strain,time,replicate 1,replicate 2,replicate 3,average,stdev
USA300 LAC,0,0.004,0.003,0.009,0.005,0.0032
USA300 dCrtN,0,0.017,0.007,0.003,0.009,0.0072
SA925,0,0.015,0.004,0.007,0.009,0.0057
SA1088,0,0.015,0.005,0.007,0.009,0.0053
USA300 LAC,1,0.026,0.011,0.016,0.018,0.0076
USA300 dCrtN,1,0.024,0.01,0.012,0.015,0.0076
SA925,1,0.023,0.011,0.017,0.017,0.006
SA1088,1,0.026,0.011,0.015,0.017,0.0078
USA300 LAC,2,0.098,0.034,0.071,0.068,0.0321
USA300 dCrtN,2,0.11,0.044,0.07,0.075,0.0332
SA925,2,0.105,0.051,0.094,0.083,0.0285
SA1088,2,0.134,0.065,0.103,0.101,0.0346
USA300 LAC,3,0.606,0.187,0.359,0.384,0.2106
USA300 dCrtN,3,0.634,0.225,0.347,0.402,0.21
SA925,3,0.706,0.223,0.488,0.472,0.2419
SA1088,3,0.826,0.356,0.525,0.569,0.2381
USA300 LAC,4,1.955,1.099,1.547,1.534,0.4282
USA300 dCrtN,4,1.988,1.405,1.511,1.635,0.3106
SA925,4,2.229,1.293,1.757,1.76,0.468
SA1088,4,2.215,1.687,1.874,1.925,0.2677
USA300 LAC,5,4.7,2.26,4.09,3.683,1.2698
USA300 dCrtN,5,5,2.5,5.27,4.257,1.5273
SA925,5,4.79,2.55,4.95,4.097,1.3418
SA1088,5,6.5,2.997,6.04,5.179,1.9036
USA300 LAC,6,8.8,4.8,6.98,6.86,2.0027
USA300 dCrtN,6,8.5,5.63,7.75,7.293,1.4885
SA925,6,8.69,5.61,7.09,7.13,1.5404
SA1088,6,9.02,6.86,7.07,7.65,1.1911
USA300 LAC,7,9.69,7.66,10.04,9.13,1.285
USA300 dCrtN,7,8.29,8.17,10.35,8.937,1.2255
SA925,7,7.89,8.16,8.79,8.28,0.4618
SA1088,7,8.66,9.2,10.47,9.443,0.9292
USA300 LAC,8,10.07,8.55,10.13,9.583,0.8954
USA300 dCrtN,8,10.55,9.03,11.66,10.413,1.3203
SA925,8,10.58,8.68,9.44,9.567,0.9563
SA1088,8,10.77,11.15,11.07,10.997,0.2003