mouse,group,x2 (actual),weight,cfu_gram,SA_gram
PBS_1,PBS,1380,0.05,27600,0
PBS_2,PBS,2190,0.051,42941.17647,0
PBS_3,PBS,1260,0.066,19090.90909,0
PBS_4,PBS,540,0.068,7941.176471,0
LAC_1,USA300 LAC,158000,0.103,1533980.583,1242718
LAC_2,USA300 LAC,438000,0.088,4977272.727,5318182
LAC_3,USA300 LAC,940,0.062,15161.29032,4194
LAC_4,USA300 LAC,23100,0.08,288750,490000
LAC_5,USA300 LAC,3230,0.096,33645.83333,417
SA925_3,SA925,110000,0.088,1250000,1636364
SA925_4,SA925,420,0.073,5753.424658,274
SA925_5,SA925,3180,0.085,37411.76471,2353
SA925_6,SA925,390,0.076,5131.578947,263
SA1088_1,SA1088,1460000,0.076,19210526.32,19473684
SA1088_2,SA1088,410,0.077,5324.675325,3636
SA1088_3,SA1088,1390,0.061,22786.88525,0
SA1088_4,SA1088,170,0.06,2833.333333,0
SA1088_5,SA1088,1810,0.071,25492.95775,0
LACdCrtN_1,USA300 dCrtN,780,0.077,10129.87013,260
LACdCrtN_2,USA300 dCrtN,1030,0.077,13376.62338,11169
LACdCrtN_3,USA300 dCrtN,992,0.098,10122.44898,20204
LACdCrtN_4,USA300 dCrtN,340,0.052,6538.461538,1923