mouse_id,MouseID,condition,ly6g_percentage_cd11b,cd4_percentage_cd90.2,cd8_percentage_cd90.2,cd11c_percentage_cd11b,f480_percentage_cd11b,ly6c_percentage_cd11b,gd_tcell_percentage_cd45,MouseType
1,dbdb_1,none,2.01,5.46,0.41,13.4,20.7,16.4,5.24,dbdb
2,dbdb_2,none,1.9,5.87,0.46,15.3,24.4,15.2,5.09,dbdb
3,dbdb_3,punch,2.7,7.66,0.83,18.5,35.7,30.9,3.78,dbdb
4,dbdb_4,punch,2.82,9.06,1.01,15.9,33.5,28.1,4.65,dbdb
5,dbdb_5,punch,4.46,7.37,0.7,19.7,41,36.3,5.69,dbdb
6,dbdb_6,punch,8.45,9.21,1.02,22.6,39.9,41.4,6.74,dbdb
7,dbdb_7,punch,4.58,6.78,0.84,17,32.3,31.6,4.76,dbdb
8,dbdb_8,SA925,9.51,14,1.75,13.1,27.3,36.7,6.28,dbdb
9,dbdb_9,SA925,21.2,10.8,1.95,11.4,26,47.6,5.49,dbdb
10,dbdb_10,SA925,11.1,13,2.54,19.2,42,52.8,4.9,dbdb
11,dbdb_11,SA925,7.81,19.5,3.03,23,44,52.5,6.23,dbdb
12,dbdb_12,SA925,6.25,11.1,1.13,17.2,34,37.7,5.36,dbdb
13,dbdb_13,SA925,4.73,11.4,1.13,18.7,34.7,34.1,6.29,dbdb
14,dbdb_14,SA1088,8.8,15.7,3.48,21.1,43.1,58.2,5.31,dbdb
15,dbdb_15,SA1088,3.23,11.2,6.6,24.3,51.4,60.6,4.79,dbdb
16,dbdb_16,SA1088,8.65,13.8,4.88,18.1,47.6,63.1,5.04,dbdb
17,dbdb_17,SA1088,5.24,12,2.33,20.9,43.5,48.4,6.06,dbdb
18,dbdb_18,SA1088,4.85,15.7,4.33,20.9,54.6,63.5,5.21,dbdb
19,dbdb_19,SA1088,2.32,17.1,5.29,22.8,56.1,62.1,4.44,dbdb
1,bl6_1,punch,24.8,15.4,11,14.1,44.3,45.1,2.9,C57BL6
2,bl6_2,punch,16.9,12.5,7.26,13.4,30.1,38.8,3.71,C57BL6
3,bl6_3,punch,12.8,15.8,3.76,14.8,49.1,36.6,4.51,C57BL6
4,bl6_4,SA925,40.9,26.3,5.32,6.75,25.5,48,0.75,C57BL6
5,bl6_5,SA925,27.8,24.1,5.96,11.8,39.5,45.5,1.82,C57BL6
6,bl6_6,SA925,30.9,20.4,5,11.5,31.6,33.1,4.39,C57BL6
7,bl6_7,SA1088,11.1,12,5.52,19.2,35.8,34.4,9.08,C57BL6
8,bl6_8,SA1088,9,28.6,15.2,8.2,44.7,56.7,0.88,C57BL6
9,bl6_9,SA1088,15.7,28.8,13.2,7.95,43.8,56.2,1.46,C57BL6