mouse_id,condition,mouse,colony_count_blood,dilution_blood,cfu_ear_blood,colony_count_chromagar,dilution_chromagar,cfu_chromagar
9,punch,dbdb,6,1,3000,,,0
10,punch,dbdb,35,1,17500,,,0
11,punch,dbdb,14,1,7000,,,0
12,punch,dbdb,23,1,11500,,,0
13,punch,dbdb,15,1,7500,,,0
14,punch,dbdb,2,1,1000,,,0
15,none,dbdb,,,0,,,0
16,none,dbdb,,,0,,,0
17,none,dbdb,,,0,,,0
38,lac,dbdb,50,2,50000,41,2,41000
39,lac,dbdb,20,2,20000,51,2,51000
40,lac,dbdb,44,2,44000,36,2,36000
41,lac,dbdb,11,2,11000,,,
42,lac,dbdb,12,2,12000,,,
43,lac,dbdb,29,3,43500,,,
44,crtn,dbdb,36,2,36000,35,2,35000
45,crtn,dbdb,20,2,20000,16,2,16000
46,crtn,dbdb,36,2,36000,30,2,30000
47,crtn,dbdb,18,2,18000,,,
48,crtn,dbdb,29,2,29000,,,
49,crtn,dbdb,,,0,19,2,19000